X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
2683.076379,-6251.847171,-2683.076379,-1926.724209,-6786.679275,1926.724209
2692.80019,-6270.800656,-2692.80019,-1931.612058,-6809.051801,1931.612058
2702.531018,-6289.746938,-2702.531018,-1936.491622,-6831.427943,1936.491622
2715.516366,-6314.997434,-2715.516366,-1942.984818,-6861.268416,1942.984818
2725.263556,-6333.926889,-2725.263556,-1947.845046,-6883.652974,1947.845046
2738.27071,-6359.15493,-2738.27071,-1954.312455,-6913.504644,1954.312455
2748.034247,-6378.067529,-2748.034247,-1959.15334,-6935.897583,1959.15334
2757.804786,-6396.972896,-2757.804786,-1963.985932,-6958.294105,1963.985932
2770.843058,-6422.168793,-2770.843058,-1970.416488,-6988.161695,1970.416488
2780.629923,-6441.057265,-2780.629923,-1975.229727,-7010.56655,1975.229727
2790.423782,-6459.938487,-2790.423782,-1980.034669,-7032.974967,1980.034669
2803.493132,-6485.102163,-2803.493132,-1986.42835,-7062.858386,1986.42835
2813.303296,-6503.966449,-2813.303296,-1991.213929,-7085.275089,1991.213929
2823.120443,-6522.823468,-2823.120443,-1995.991206,-7107.695334,1995.991206
2836.220832,-6547.954846,-2836.220832,-2002.347995,-7137.59449,2002.347995
2846.054265,-6566.794889,-2846.054265,-2007.105898,-7160.022973,2007.105898
2855.894672,-6585.627648,-2855.894672,-2011.855496,-7182.454976,2011.855496
2869.026059,-6610.726653,-2869.026059,-2018.175371,-7212.369779,2018.175371
2878.88273,-6629.542395,-2878.88273,-2022.905585,-7234.809973,2022.905585
